transaction_id,timestamp,customer_id,customer_home_country,card_last4,amount,currency,merchant_category,merchant_country,channel,device_id,ip_country,account_age_days,customer_avg_amount_30d,customer_txn_count_1h,is_fraud
TXN20000000,2025-09-21T00:49:09,CUST100000,RU,5048,857.73,RUB,entertainment,RU,POS,DEV-96231188,,3454,857.73,0,0
TXN20000001,2025-09-21T21:14:44,CUST100000,,4884,5167.47,RUB,online_marketplace,RU,ATM,DEV-28121033,,3454,857.73,0,0
TXN20000002,10.10.2025 21:37,CUST100000,RU,9471,1342.3,RUB,online_marketplace,RU,POS,DEV-96231188,,3473,3012.6,0,0
TXN20000003,2025-10-31T22:29:51,CUST100000,RU,6257,1579.73,RUB,pharmacy,RU,POS,,,3494,1342.3,0,0
TXN20000004,2025-12-09T15:29:18,CUST100000,RU,4175,"1 692,78",RUB,grocery,RU,ATM,DEV-28121033,,3533,1692.78,0,0
TXN20000005,2026-01-02T02:04:43,CUST100000,RU,3201,859.1,RUB,grocery,RU,online,DEV-28121033,RU,3557,1692.78,0,0
TXN20000006,2026-01-22T20:58:28,CUST100000,RU,3038,1691.46,RUB,,RU,online,DEV-28121033,RU,3577,859.1,0,0
TXN20000007,2026-02-19T22:08:01,CUST100000,RU,2428,1216.81,RUB,subscription,RU,mobile_app,DEV-28121033,RU,3605,1691.46,0,0
TXN20000008,2026-06-04T20:26:43,CUST100000,RU,1381,1249.45,RUB,Grocery,RU,mobile_app,DEV-44978441,RU,3710,1249.45,0,0
TXN20000009,2026-06-21T23:48:33,CUST100000,RU,3717,821.05,RUB,pharmacy,RU,POS,DEV-44978441,,3727,1249.45,0,0
TXN20000010,2025-11-19T11:11:11,CUST100001,RU,4889,2127.11,RUB,clothing,RU,mobile_app,DEV-63809676,RU,3333,2127.11,0,0
TXN20000011,2025-11-28T20:49:20,CUST100001,RU,2783,587.98,RUB,transport,RU,mobile_app,DEV-63809676,RU,3342,2127.11,0,0
TXN20000012,2026-03-01T17:11:53,CUST100001,RU,7880,932.01,RUB,crypto_exchange,RU,POS,DEV-63809676,,3435,932.01,0,0
